pp_dim_A_vals,pp_dim_B_vals,pp_dim_AB_vals,min_pp_dim_A_pp_dim_B_vals,max_pp_dim_A_pp_dim_B_vals,nu_over_d_A_vals,nu_over_d_B_vals,nu_over_d_AB_vals,min_nu_over_d_A_nu_over_d_B_vals,max_nu_over_d_A_nu_over_d_B_vals,nu_over_d_A_times_nu_over_d_B_vals
724.3076660947136,999.0738617245108,720.3620248168164,724.3076660947136,999.0738617245108,0.7192727567971336,0.6664935701964715,0.4805617243607848,0.6664935701964715,0.7192727567971336,0.47939066762278
581.887634650853,982.7061606194122,578.3253299960581,581.887634650853,982.7061606194122,0.5865802768657792,0.788056263527997,0.46377331996476195,0.5865802768657792,0.788056263527997,0.4622582612460639
898.213583270369,335.75064628723214,311.8886594489723,335.75064628723214,898.213583270369,0.8248058615889522,0.26562551130319,0.24674735715899707,0.26562551130319,0.8248058615889522,0.2190894787104336
567.6930083607572,466.0735494014254,375.6680729864406,466.0735494014254,567.6930083607572,0.7420823638702708,0.5753994437054635,0.4637877444277045,0.5753994437054635,0.7420823638702708,0.42699377935458915
1.1668444865372216,834.254541729207,1.1667596646748672,1.1668444865372216,834.254541729207,0.0013583754208815152,0.679914051939044,0.0009509043721881559,0.0013583754208815152,0.679914051939044,0.0009235785364659552
744.1295366518912,767.7769086095914,718.679711487556,744.1295366518912,767.7769086095914,0.9336631576560742,0.7432496695155774,0.6957209210915354,0.7432496695155774,0.9336631576560742,0.6939448333667476
499.9497567355447,324.78082805941403,223.1668688491263,324.78082805941403,499.9497567355447,0.6074723654137846,0.34259581018925533,0.23540808950329778,0.34259581018925533,0.6074723654137846,0.2081174871965189
640.6572027537662,799.7770636614679,602.2077396627093,640.6572027537662,799.7770636614679,0.7397889177295222,0.8827561409066974,0.6646884543738513,0.7397889177295222,0.8827561409066974,0.6530532101004553
604.1355712290679,817.4196801021277,574.4733487593744,604.1355712290679,817.4196801021277,0.6896524785719953,0.7943825851332631,0.5582831377642122,0.6896524785719953,0.7943825851332631,0.547847918771584
417.0859162111791,553.0691118396679,318.26893521171064,417.0859162111791,553.0691118396679,0.548797258172604,0.684491475049094,0.39389719704419635,0.548797258172604,0.684491475049094,0.3756470447494642
333.7670319865949,553.5628383578199,314.7799596210631,333.7670319865949,553.5628383578199,0.5628449106013405,0.7999462982049421,0.45488433471251893,0.5628449106013405,0.7999462982049421,0.45024570269903386
489.4888767566168,511.81779165448074,476.58770852049764,489.4888767566168,511.81779165448074,0.9288213980201457,0.7396210862058971,0.6887105614458059,0.7396210862058971,0.9288213980201457,0.6869758912949401
965.8533786317453,703.910746981017,635.3242133429268,703.910746981017,965.8533786317453,0.8615998025260886,0.4480654022794507,0.4044075196326714,0.4480654022794507,0.8615998025260886,0.38605306212274715
240.5478529601266,618.2595988714282,235.563421448489,240.5478529601266,618.2595988714282,0.38061369139260537,0.6612402126967147,0.2519394881802022,0.38061369139260537,0.6612402126967147,0.25167707825172814
586.5187946755856,731.5468408490212,576.8202054941776,586.5187946755856,731.5468408490212,0.7862182234257179,0.8526186956282299,0.6722846217880858,0.7862182234257179,0.8526186956282299,0.6703443561363798
730.0473785379388,761.4998521684138,708.2849508024652,730.0473785379388,761.4998521684138,0.9276332637076732,0.855617811425184,0.7958257874185003,0.855617811425184,0.9276332637076732,0.7936995428987599
